tranche,zincid,SMILES
H25P400,ZINCpK00000FExrg,C[C@@]1(Br)C[C@H]1CN(CC[C@H]1CCCC[C@H]1O)C(=O)CCc1cncs1
H24P260,ZINCow000007IWNN,Cc1ccoc1C(=O)NC[C@@H](CNC(=O)CCC(F)F)C(F)(F)F
H25P190,ZINCpp00000SOeJT,O=C(NC/C=C/CC(=O)N1CCC2(CCC2)C1)c1cc2n(n1)CCC2
H23P250,ZINCnv00000r2f8J,C[C@H](CN=[N+]=[N-])NC(=O)C(C)(C)CNC(=O)[C@@H]1CC=CC[C@H]1C
H22P280,ZINCmy000006BXrS,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](N1C(=O)[C@H]3CC(F)(F)CN3C1=O)C2
H25P300,ZINCpA00000O4g7M,CCc1cc(CN(CC2(F)CCC2)C(=O)C[C@@H](C)CC(=O)OC)no1
H25P260,ZINCpw00000xCXNL,C[C@@]1(NC(=O)c2ccc3c(c2)CC3)CCC[C@H]1NC(=O)CCCC#N
H25P280,ZINCpy00000xCXNT,C[C@@]1(NC(=O)c2cc(C3CC3)sn2)CCN(C(=O)CCCN=[N+]=[N-])C1
H25P260,ZINCpw00000xCXNM,C[C@@]1(NC(=O)c2ccc3c(c2)CC3)CCC[C@H]1NC(=O)[C@H]1CCSC1
H24P120,ZINCoi00000op9rC,Cc1cncc(NC(=O)[C@@H]2C[C@H](F)CN(C(=O)c3ccon3)C2)n1
H24P070,ZINCod00000HLqgd,CC1(C)C[C@@H](NC(=O)C[C@H]2C[C@H]2CNC(=O)[C@@H](O)C(F)(F)F)CO1
H24P060,ZINCoc00000HLqg0,CC1(C)C[C@H](NC(=O)[C@](C)(CO)NC(=O)CCc2nccs2)CO1
H23P270,ZINCnx00000r2f91,C[C@H](CN=[N+]=[N-])NC(=O)C[C@H]1CCCN(C(=O)C2=C(Cl)CC2)C1
H25P120,ZINCpi00000SOeJK,O=C(NC/C=C/CC(=O)N1Cc2cc(O)nnc2C1)[C@H]1CC[C@@H](F)C1
H25P140,ZINCpk00000SOeJx,O=C(NCCC#CCO)[C@H](F)[C@H]1CCN(C(=O)CCCC(F)(F)F)C1
H23P300,ZINCnA000003KAg8,CC(C)C[C@@H](CN=c1ccc(C(F)(F)F)n[nH]1)NC(=O)C(C)C
H20P070,ZINCkd00001bPvgL,CN(C)C(=O)C(C)(C)CNC(=O)C[C@@]12CC[C@@H](C1)NC2
H24P170,ZINCon00000si4fd,CCOC(=O)[C@@H]1C[C@@]12C[C@@H]2C(=O)NCCOc1ccccc1OC
H25P210,ZINCpr000002rHLP,CCn1cc(Cl)c(C(=O)NC[C@H](C)NC(=O)CSCc2cscn2)n1
H24P090,ZINCof00000HLqgf,CC1=CC[C@@H](NC(=O)C[C@H]2C[C@H](NC(=O)[C@H](C)NC(N)=O)C2)CC1
H25P330,ZINCpD00000O4g8o,CCc1cc(CN(Cc2nc(Br)nn2C)CC2CC(C)(C)C2)n(C)n1
H25P330,ZINCpD00000O4g7R,CCC1CC(CN(CC2(F)CCCCC2)C(=O)[C@]2(CO)CCOC2)C1
H23P050,ZINCnb00000gEeRB,CCCCN=C(NCCNC(C)=O)NC[C@@H]1CCOC[C@@H]1OC
H24M000,ZINCo500000204v8,COC[C@@H](O)C(=O)NC[C@@H](C)CNc1cc(=O)n(C(C)C)c(O)n1
H20P150,ZINCkl00001bPvhr,CN(C)C(=O)C(C)(C)CNC(=O)NCC[C@H]1CCSC1
H23P050,ZINCnb00000gEeqL,CCCCC[C@H](O)C(=O)NC1CC(F)(CNC(=O)C2(O)CC2)C1
H24P190,ZINCop00000si4fq,CCOC(=O)[C@@H]1C[C@]12C[C@@H]2C(=O)OCc1ccc2c(c1)C(=O)OC2
H25P310,ZINCpB00000O4g8d,CCC1CC(CN(C[C@]2(F)CCOC2)C(=O)[C@@H]2CC[C@H](N(C)C)C2)C1
H24M000,ZINCo5000002052E,COC[C@@H](O)C(=O)NC[C@@H](O)CNc1cccc(OC)c1[N+](=O)[O-]
H23P050,ZINCnb00000gEhZF,CCCC[C@@H](O)C(=O)N[C@@H]1[C@H]2C[C@@H]1N(C(=O)C1(O)CCCC1)C2
H25P260,ZINCpw00000xCXNJ,C[C@]1(NC(=O)c2ccc3c(c2)CC3)CCCC[C@H]1C(=O)N1CCCO1
H24P140,ZINCok00000op9s6,Cc1cncc(NC(=O)[C@H]2CCN(C(=O)c3ccncc3F)C2)n1
H24P260,ZINCow000007IWOO,Cc1ccoc1C(=O)NC[C@@H](NC(=O)[C@@H]1C[C@@H]2C=C[C@H]1C2)C(C)C
H25P100,ZINCpg00000VW6FV,C[C@@H]1Cn2[nH]c(=NC(=O)N3CCCN(C(=O)N(C)C)CC3)cc2CO1
H25P110,ZINCph00000VW6FY,C[C@@H]1CNc2c(cccc2C(=O)N2CC[C@@H](NC(=O)C3(O)CC3)C2)C1
H25P330,ZINCpD00000O4g87,CCc1cc(CN(C[C@@]2(F)CCOC2)C(=O)CC(C)(C)C(F)F)no1
H25M000,ZINCp500000VW6FB,C[C@H]1CN2CCN1C[C@H]2C(=O)NCCCCN(C)C(=O)[C@H]1C[C@H](O)C1
H25P170,ZINCpn00000SJ7JL,C=C[C@@H](OC)C(=O)N[C@H]1CCC[C@H](NC(=O)CCc2ccn(C)c2)C1
H25P170,ZINCpn00000SJ7JM,C=C[C@H](OC)C(=O)N[C@H]1CCC[C@H](NC(=O)C(C)(C)[C@@H]2CCOC2)C1
H23P300,ZINCnA000003KA7Q,CC(C)C[C@@H](C)CN1CCN(C(=O)C[C@H]2CCCOC2)[C@@H](C)C1
H24P260,ZINCow000007IWRs,Cc1ccoc1C(=O)NC[C@@H]1CCCN1C(=O)C1CC(C(F)F)C1
H25P080,ZINCpe00000VW6Fc,C[C@@H]1[C@H](NC(=O)C(N)=O)CCCN1C(=O)[C@@H]1CCC[C@@H]1n1cccc1
H24P220,ZINCos00000mpIBF,C=CCCCCC(=O)N1CCSC[C@@H]1C(=O)NCC[C@H]1CCOC1
H18P170,ZINCin00001bPvh9,CN(C)C(=O)C(C)(C)CNC(=O)[C@@H](F)CC(Cl)Cl
H25M100,ZINCp400000VW6Fd,C[C@H]1[C@H](NC(=O)C(N)=O)CCCN1C(=O)[C@H]1CCn2c(O)nnc2C1
H24P120,ZINCoi00000op9rE,CC1(C#N)CCN(C(=O)[C@H]2C[C@@H](F)CN(S(=O)(=O)C3CC3)C2)CC1
H25P160,ZINCpm00000SOeJY,O=C(NCCCCC(=O)N1CC[C@]2(C=CCO2)C1)[C@H]1CCCOCC1
H24P350,ZINCoF0000050tfI,CC[C@@H](CC(=O)N1CC=C[C@@H]1CNC(=O)C1CC(Cl)(Cl)C1)C(C)C
H24M000,ZINCo500000204SL,COC[C@@H](O)C(=O)NC[C@@H](NC(=O)[C@H](O)c1ccccc1)C(C)C
H25P310,ZINCpB00000O4g88,CCc1cc(CN(C[C@]2(F)CCOC2)C(=O)CC(C)(C)O)ccc1C
H24P060,ZINCoc00000HLqfN,CC1=CC[C@H](NC(=O)C#CCNC(=O)[C@H](C)[C@@H]2CCC(=O)N2)CC1
H25P230,ZINCpt000003jnzb,O=C(Cc1ccco1)NC1CC2(CCN(C(=O)c3ccc(F)o3)C2)C1
H23P300,ZINCnA000003KAgR,CC(C)C[C@@H](CN=c1nc(O)c(Br)c[nH]1)NC(=O)CSC(C)C
H24P170,ZINCon00000si4f2,CCOC(=O)[C@@H]1C[C@@]12C[C@H]2C(=O)Nc1nncn1-c1ccccc1
H24P090,ZINCof00000HLqg3,CC1(C)C[C@@H](NC(=O)[C@@](C)(CO)NC(=O)[C@H]2CC[C@H]3C[C@H]32)CCO1
H25M000,ZINCp500002sYBSb,COC(=O)c1cccn1Cc1cn([C@H]2CCn3c(O)nnc3C2)nn1
H24P060,ZINCoc00000HLqfR,CC1(C)C[C@@H](NC(=O)C#CCNC(=O)CN2CCCCCC2)CO1
H25P080,ZINCpe00000VW6G6,C[C@@H]1CN(C2CCOCC2)CCN1N1CCN(C2CCOCC2)CC1
H25M000,ZINCp500002sYBSe,COC(=O)[C@]1(C)CCN1C(=O)C1(CCNC(=O)[C@@H](C)S(C)(=O)=O)CC1
H25P080,ZINCpe00000VW6G2,C[C@H]1CN(c2ccc(NC(=O)NC[C@@H]3CN(C)C(=O)O3)nc2)CCO1
H23P050,ZINCnb00000gEfdG,CCCCOC(=O)C=CC(=O)NCCNC(=O)[C@@H]1CO[C@H](C)C1
H19P020,ZINCj800001bPvhc,CN(C)C(=O)C(C)(C)CNC(=O)[C@H](N)CCCC#N
H23P190,ZINCnp00000I6oCW,CC=CCCC(=O)N1C[C@@H](NC(=O)c2ccoc2I)C[C@@H](O)C1
H24P180,ZINCoo00000si4fu,CCOC(=O)[C@@H]1C[C@@]12C[C@@H]2C(=O)OCC(=O)c1cc(F)ccc1O
H24P140,ZINCok00000op9rU,Cc1cnc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]2CCC[C@H]2C)s1
H21P230,ZINClt00000g4coh,C[C@@H]1Cc2cc(NC(=O)NCc3csc(=N)[nH]3)ccc2O1
H25M000,ZINCp500002sYBRX,COC(=O)[C@]1(C)C[C@H](NC(=O)[C@H]2C[C@@H](O)CN2C(=O)COCCF)C1
H25P180,ZINCpo00000SOeJM,O=C(NCCCCC(=O)N1CCC12CCCC2)c1n[nH]c2c1COC2
H25P210,ZINCpr000002rHC2,CCn1cc(Cl)c(C(=O)NCC2CN(C(=O)[C@]3(CC)CC3(F)F)C2)n1
H23P260,ZINCnw00000r2f93,C[C@H](CN=[N+]=[N-])NC(=O)C[C@@H]1CCCN(C(=O)CCC2CC2)C1
H25P300,ZINCpA00000O4g8g,CCc1cc(CN(C[C@@]2(F)CCOC2)C(=O)[C@H](C)c2ccco2)on1
H25P160,ZINCpm00000SOeJR,O=C(NC/C=C/CC(=O)N1CCC12CC(O)C2)c1cc[nH]c1C1CC1
H25P210,ZINCpr000002rGYY,CCn1cc(CC(=O)N[C@]23CCC[C@@H]2N(C(=O)CC(C)C)CC3)cn1
H23P210,ZINCnr00000r2f8W,C[C@H](CN=[N+]=[N-])NC(=O)CCCNC(=O)C1(C#N)CCCCC1
H25P320,ZINCpC00000O4g7H,CCc1cc(CN(CC2(F)CC2)C(=O)[C@@H]2C[C@H](F)CN2C)ccc1F
H24P200,ZINCoq00000mpIBK,C=CC(C)(C)CC(=O)N1CCSC[C@@H]1C(=O)NC[C@H]1OCC[C@H]1C
H25P280,ZINCpy00000xCXNz,C[C@]1(NC(=O)C2CC3(CSC3)C2)C[C@@H](C(=O)N[C@H]2CCC3(CC3)C2)C1
H24P210,ZINCor00000mpIBM,CCC(CC)CC(=O)N1CCSC[C@@H]1C(=O)N(C)[C@H](C)CN(C)C
H25P090,ZINCpf00002sYBRF,COC(=O)c1ccc(C(=O)N[C@H](c2cn(CCO)nn2)C2CC2)cc1
H23P250,ZINCnv00000r2f8K,C[C@H](CN=[N+]=[N-])NC(=O)CC(C)(C)NC(=O)[C@@H]1[C@H]2CCCC[C@H]21
H24M000,ZINCo500000204l0,COC[C@@H](O)C(=O)NCC[C@H]1c2ccccc2CCN1C(=O)CO
H24P200,ZINCoq00000mpIBR,CCC(C)(C)CC(=O)N1CCSC[C@@H]1C(=O)N[C@@H](CO)C1CCC1
H25P190,ZINCpp00000SOeJu,O=C(NCCC#CCO)[C@H](CC1CC1)NC(=O)[C@H]1CCC=CCCC1
H25P110,ZINCph00000VW6G5,C[C@H]1CN(c2ccncc2F)CCN1C(=O)[C@@H]1CCc2ncnn2C1
H24P130,ZINCoj00000op9s5,C[C@]1(C#N)CCN(C(=O)[C@H]2CCN(C(=O)c3cccs3)C[C@@H]2O)C1
H25P230,ZINCpt000003jnEo,O=C(Cc1ccco1)NC[C@H]1CN(CC[C@H]2CCOC2)CCC1(F)F
H24P180,ZINCoo00000si4fh,CCOC(=O)[C@@H]1C[C@]12C[C@H]2C(=O)N[C@H](C)c1nc(C(F)(F)F)no1
H20P090,ZINCkf00001bPvgZ,CN(C)C(=O)C(C)(C)CNC(=O)[C@H]1CCCCNCC1
H25P120,ZINCpi00000SOeKe,O=C(NC/C=C/CC(=O)N1CCC[C@@]12CCNC2=O)[C@H]1C=CCCC1
H24P260,ZINCow000007IWQv,Cc1ccoc1C(=O)NC[C@@H]1CCCCN(C(=O)[C@@H](F)C2CC2)C1
H24P220,ZINCos00000mpIBW,C=CC(C)(C)CC(=O)N1CC(SC)(C(=O)N[C@@]2(C)CCO[C@H]2C)C1
H25P020,ZINCp800000VW6FU,C[C@@H]1Cn2nc(C(=O)Nc3cc(O)nc4ncn(C)c34)cc2C(=O)N1
H25P150,ZINCpl00000SOeJG,O=C(NC/C=C/CC(=O)N1Cc2cccnc2C1)[C@@H]1O[C@H]2CC[C@H]1C2
H24P290,ZINCoz00000m13i0,Cn1cncc1[C@@H]1CCCCN1C(=O)c1cc(C#N)c(F)cc1F
H20P020,ZINCk800001bPvgQ,CN(C)C(=O)C(C)(C)CNC(=O)C(C)(C)CS(C)(=O)=O
H24P180,ZINCoo00000si4fa,CCOC(=O)[C@@H]1C[C@]12C[C@H]2C(=O)NCCc1ccc([N+](=O)[O-])cc1
H23P260,ZINCnw00000r2f8D,C[C@H](CN=[N+]=[N-])NC(=O)CCCCNC(=O)C1CC2(CCC2)C1
H25P020,ZINCp800002sYBRA,COC(=O)c1ccc(C(=O)NCCC2(c3cn(CCO)nn3)CC2)[nH]1
H25P260,ZINCpw00000xCXO6,C[C@@]1(NC(=O)C2CCCC2)CCC[C@H]1NC(=O)C[C@H]1CCC[C@@H](O)C1
H24M000,ZINCo500000204Ux,COC[C@@H](O)C(=O)NC[C@@H](NC(=O)c1cccc(O)n1)C(C)(C)C
H25P300,ZINCpA00000O4g8k,CCC1CC(CN(CC2(n3cccn3)CC2)C(=O)[C@@H](CSC)OC)C1
H23P050,ZINCnb00000gEhYh,CCCC[C@@H](O)C(=O)N[C@@H]1C[C@H]1CNC(=O)c1ccnnc1C
H23P050,ZINCnb00000gEdUu,CCCCCCO[C@@H](C)C(=O)N[C@@H]1CN(C(=O)CC#N)C[C@H]1O
H25P140,ZINCpk00000SOeKk,O=C(NC/C=C/CC(=O)N1CCC[C@]2(CCOC2)C1)C1=CCOCC1
H25P210,ZINCpr000002rHI5,CCn1cc(Cl)c(C(=O)NC[C@@H](C)NC(=O)c2cc(C)c(C)cn2)n1
H24P260,ZINCow000007IWUJ,Cc1ccoc1C(=O)NC[C@@H]1CC[C@H]1NC(=O)c1cc(Br)n(C)c1
H24M000,ZINCo500000204kk,COC[C@@H](O)C(=O)NCC[C@H]1CSCCN1C(=O)Cc1cnco1
H25P000,ZINCp600000VW6Fb,C[C@H]1[C@H](NC(=O)C(N)=O)CCCN1C(=O)C[C@@H](C(F)F)n1cccn1
H25P280,ZINCpy00000xCXNW,C[C@]1(NC(=O)c2ccc3cc[nH]c3c2)C[C@@H](C(=O)NC[C@@H]2C[C@@H]2Cl)C1
H25P120,ZINCpi00000SOeJ6,O=C(NCC#CCCO)[C@@H]1C[C@H](F)CCN1C(=O)c1ccc(F)cc1
H24M000,ZINCo5000002051Y,COC[C@@H](O)C(=O)NC[C@@H](O)CNC(=O)c1coc2c1CCCC2
H25P100,ZINCpg00000VW6Fg,C[C@H]1[C@H](NC(=O)CN=S(C)(C)=O)CCCN1C(=O)CC[C@@H]1CCOC1
H25P320,ZINCpC00000O4g7N,CCc1cc(CN(CC2(F)CCC2)C(=O)CCS(C)(=O)=O)ccc1C
H25P300,ZINCpA00000O4g84,CCc1cc(CN(C[C@]2(F)CCOC2)C(=O)c2cc(Cl)cn2C)no1
H23P300,ZINCnA000003KAfj,CC(C)C[C@@H](CN=c1[nH]ncs1)NC(=O)c1cc(F)ccc1F
H25P140,ZINCpk00000SOeKa,O=C(NC/C=C/CC(=O)N1CCc2nccnc2C1)C1C[C@@H]2C[C@H]2C1
H25P100,ZINCpg00000VW6Fh,C[C@H]1[C@@H](NC(=O)COc2cn[nH]c2)CCN1C(=O)C=Cc1nccs1
H23P170,ZINCnn00000a0s6V,C#CCNc1cccc(C(=O)N2CC[C@H]2CNC(=O)C(C)C)c1
H23P050,ZINCnb00000gEdOB,CCCCCCC(=O)N[C@H]1CCN(C(=O)CC(=O)OC)C[C@H]1O
H21P280,ZINCly00000g4co9,C[C@H]1Cc2cc(NC(=O)[C@@H](C)N3CCCCC3)ccc2O1
H25M100,ZINCp400002sYBSs,COC(=O)[C@@]1(C)CCN1C(=O)[C@H]1COCCN1C(=O)c1cnnn1C
H23P050,ZINCnb00000gEfSo,CCCCO[C@@H](C)C(=O)N1CCO[C@@H]2CN(C(=O)CC#N)C[C@@H]21
H23P050,ZINCnb00000gEd5P,CCCCCC(=O)N1CCN(C(=O)CS(N)(=O)=O)CC(C)(C)C1
H24P330,ZINCoD00000m13hZ,Cn1cncc1[C@@H]1CCCCN1C(=O)c1ccc(I)c([N+](=O)[O-])c1
H25P280,ZINCpy00000xCXNm,C[C@@]1(NC(=O)C2=C[C@@]3(CCN(C(=O)C(F)=CC4CC4)C3)C2)CCSC1
H24P300,ZINCoA00000m13hM,Cn1cncc1[C@@H]1CCCCN1C[C@H](O)COc1ccc(Cl)cc1
H25P270,ZINCpx00000xCXNV,Cc1nc(O)c2cc(-c3ccccc3CN3CCN(C)CC3)sc2n1
H24P180,ZINCoo00000si4f6,CCOC(=O)[C@@H]1C[C@]12C[C@H]2C(=O)NCc1ccc(OC(C)=O)cc1
H24P230,ZINCot00000mpIBT,CCCC(C)=CC(=O)N1CC(SC)(C(=O)N2CC[C@H](OCC)C2)C1
H25P270,ZINCpx00000xCXNU,C[C@@]1(NC(=O)c2cc(C3CCC3)on2)CCC[C@H]1NC(=O)[C@@H]1C[C@H]1Cl
H22P280,ZINCmy000006BXwN,CC1(C)[C@H](C(=O)NCCC2(O)CCC2)[C@H]1c1ccncc1Cl
H25P130,ZINCpj00000SOeJ3,O=C(NCCCCCO)[C@@H]1C[C@H]2C=C[C@H]1N(C(=O)c1c[nH]nc1Cl)C2
H25P120,ZINCpi00000SOeJO,O=C(NC/C=C/CC(=O)N1CCC12CC(CO)C2)c1ncccc1F
H25M000,ZINCp500002sYBSf,COC(=O)[C@]1(C)CCN1C(=O)C1(C)CN(C(=O)CSc2nc[nH]n2)C1
H23P240,ZINCnu00000r2f94,C[C@H](CN=[N+]=[N-])NC(=O)C[C@H]1C[C@H]1CNC(=O)C1=CCCCC1
H25P080,ZINCpe00000VW6G4,C[C@H]1CN(c2ccncc2)CCN1N1CCN(S(C)(=O)=O)C(C)(C)C1
H24P180,ZINCoo00000si4f8,CCOC(=O)[C@@H]1C[C@@]12C[C@H]2C(=O)NCc1cn2cccc(C)c2n1
H18P150,ZINCil00001bPvh0,CN(C)C(=O)C(C)(C)CNC(=O)[C@@H]1CCCCS1
H23P050,ZINCnb00000gEg4w,CCCCS(=O)(=O)CC(=O)N1CC[C@H]2CN(C(=O)C(F)F)[C@H]2C1
H23P050,ZINCnb00000gEeJW,CCCCN=C(NCC(=O)N(C)C)NCc1nc(CSC)n[nH]1
H25P190,ZINCpp00000SOeKo,O=C(NCCCCC(=O)N1CCCCC[C@H]1CO)c1ccc(CO)s1
H23P050,ZINCnb00000gEhnq,CCCC[C@@H](O)C(=O)N1CCC[C@](F)(CNC(=O)C=CCO)C1
H25P150,ZINCpl00000SOeJL,O=C(NCCCCC(=O)N1Cc2c[nH]nc2C1)c1ncc(F)cc1F
H23P280,ZINCny00000r2f8I,C[C@H](CN=[N+]=[N-])NC(=O)CCCCNC(=O)CCCC(F)(F)F
H24P060,ZINCoc00000HLqgh,CC1(C)C[C@@H](NC(=O)C[C@@H]2CCN2C(=O)c2cccc(O)n2)CO1
H25P130,ZINCpj00000SOeKc,O=C(NCCCCC(=O)N1CCc2n[nH]cc2C1)[C@@H](O)c1ccsc1
H23P250,ZINCnv00000r2f8E,C[C@H](CN=[N+]=[N-])NC(=O)CCCCNC(=O)c1cccc(F)c1
H24P180,ZINCoo00000si4fr,CCOC(=O)[C@@H]1C[C@]12C[C@@H]2C(=O)OCc1c(Cl)ncnc1N(C)C
H24P060,ZINCoc00000HLqfL,CC1(C)C[C@@H](NC(=O)/C=C/CNC(=O)[C@@H]2CCOC(=O)CC2)CO1
H25P230,ZINCpt000003jnNZ,O=C(Cc1cccs1)NC1C[C@H]2CN(C(=O)Cc3cnsc3)C[C@@H]2C1
H25M100,ZINCp400002sYBSI,COC(=O)c1ccc(N2CC(CNC(=O)CNC=O)C2)n2ncnc12
H23P050,ZINCnb00000gEhV2,CCCC[C@@H](O)C(=O)N[C@@H]1CC[C@H](CNC(=O)C(F)(F)CO)C1
H23P250,ZINCnv00000r2f8T,C[C@H](CN=[N+]=[N-])NC(=O)/C=C/CN(C)C(=O)[C@@H](F)CC(C)(C)C
H25P130,ZINCpj00000SOeJ4,O=C(NCCCCCO)[C@@H]1C[C@H]2C=C[C@H]1N(C(=O)c1n[nH]cc1Cl)C2
H24P190,ZINCop00000si4eX,CCOC(=O)[C@@H]1C[C@]12C[C@@H]2C(=O)Nc1ccc(-c2nc[nH]n2)cc1
H25P050,ZINCpb00002sYBSz,COC(=O)c1cc(CN2CC[C@]3(COC[C@@H](C(=O)O)O3)C2)c(C)n1C
H25P310,ZINCpB00000O4g7G,CCc1cc(CN(CC2(F)CC2)C(=O)[C@]2(C)COCCO2)ccc1C
H23P050,ZINCnb00000gEhzW,CCCC[C@@H](O)C(=O)N1[C@H]2CC[C@@H]1C[C@H]2NC(=O)[C@H]1C[C@@H](O)C1
H23P300,ZINCnA000003KA7B,CC(C)C[C@@H](C)CN1CCN(C(=O)C2(C)CCOCC2)[C@H](C)C1
H25P260,ZINCpw00000xCXO8,C[C@]1(NC(=O)C2CCCC2)C[C@@H](C(=O)NCc2ccc(O)c(F)c2)C1
H23P300,ZINCnA000003KA5g,CC(C)C[C@@H](C)CN1CCC([C@@H](C)NC(=O)CC(C)(C)O)CC1
H21P060,ZINClc00001bPvhk,CN(C)C(=O)C(C)(C)CNC(=O)N1CC[S@](=O)C(C)(C)C1
H23P260,ZINCnw00000r2f8X,C[C@H](CN=[N+]=[N-])NC(=O)C(C)(C)NC(=O)[C@H]1CCCC12CCC2
H23P300,ZINCnA000003KAig,CC(C)C[C@@H](CNC(=O)C(C)(C)CC(F)F)NC(=O)C(C)(C)F
H25P110,ZINCph00000VW6F8,C[C@@H]1[C@@H](NC(=O)CNC=O)CCN1C(=O)c1cc(C2CC2)ncc1Br
H25P070,ZINCpd00002sYBRS,COC(=O)[C@]1(C)C[C@H](NC(=O)CCc2cn(C[C@@H]3CCOC3)nn2)C1
H25M000,ZINCp500000VW6Fw,C[C@H]1CN2CCN1C[C@H]2C(=O)N1CCC(NC(=O)C2CN(C)C2)CC1
H22P320,ZINCmC00000azjLj,Cc1nc(Br)c(C(=O)NCC[C@H](C)NC(=O)CC(C)(C)C)s1
H23P050,ZINCnb00000gEfZt,CCCCO[C@H](C)C(=O)NCC#CCNC(=O)[C@H]1CCN1CC
H25P250,ZINCpv00000xCXNK,C[C@@]1(NC(=O)C2CCC3(CC2)CC3)CCC[C@H]1NC(=O)c1cn[nH]c1
H24P260,ZINCow000007IWLe,Cc1ccoc1C(=O)NCC[C@H]1C[C@@H](NC(=O)c2cc(Br)no2)C1
H24P160,ZINCom00000si4fl,CCOC(=O)[C@@H]1C[C@]12C[C@@H]2C(=O)N[C@@H](CO)Cc1ccccc1C
H25M100,ZINCp400002sYBS2,COC(=O)[C@]1(C)C[C@H](NC(=O)[C@@H](O)CNC(=O)c2nnn(C)c2C)C1
H25P010,ZINCp700000VW6G1,C[C@@H]1CN(c2ccc(F)cn2)CCN1C(=O)[C@@H]1CC(=O)N(C)C(=O)N1
H24P320,ZINCoC00000m13hS,Cn1cncc1[C@H]1CCCCN1C(=O)c1cccc2nc(S)oc12
H23P050,ZINCnb00000gEetP,CCCCC[C@H](O)C(=O)N[C@@H]1CCN(C(=O)c2c[nH]c(=N)o2)C1
H25M100,ZINCp400000VW6Gc,C[C@H]1CN(c2nccnc2C#N)CCN1N1CC2(C1)C(=O)NCN2C
H22P280,ZINCmy000006BXtK,CC1(C)[C@@H]2NCCC[C@H]2[C@H]1NC(=O)C[C@@H]1C[C@@H]2C=C[C@H]1CC2
H20P090,ZINCkf00001bPvgJ,CN(C)C(=O)C(C)(C)CNC(=O)[C@]1(CF)CCCOC1
H25P140,ZINCpk00000SOeJ9,O=C(NCCCCCO)[C@@H]1CCN(C(=O)C2CC3(CCC3)C2)CCO1
H24M000,ZINCo500000204o5,COC[C@@H](O)C(=O)NC[C@@H](C)CN(C)C(=O)c1ccc(C#N)cn1
H21P140,ZINClk00001bPvhe,CN(C)C(=O)C(C)(C)CNC(=O)N1CCC[C@](C)(C#N)C1
H25M000,ZINCp500002sYBSH,COC(=O)c1ccc(N2CC(CNC(=O)CCc3cnn[nH]3)C2)nn1
H25P080,ZINCpe00000VW6Ff,C[C@@H]1[C@@H](NC(=O)C(N)=O)CCN1C(=O)Cc1ccc2c(c1)CCCS2
H23P260,ZINCnw00000r2f8V,C[C@H](CN=[N+]=[N-])NC(=O)/C=C/CNC(=O)C1=CCC(C)(C)CC1
H25M000,ZINCp500002sYBS1,COC(=O)[C@]1(C)C[C@H](NC(=O)[C@H](O)CNC(=O)[C@@]2(C)CCN(C)C2)C1
H25P040,ZINCpa00000VW6FL,C[C@H]1CN2CCN1[C@H](C(=O)NCCCCCCNC(=O)CCC#N)C2
H24P150,ZINCol00000op9rI,C[C@@]1(C#N)CCN(C(=O)[C@H]2C[C@H](NCc3cncc(C#N)c3)C2)C1
H25M000,ZINCp500002sYBSj,COC(=O)[C@@]1(C)CCN1C(=O)[C@@](C)(CO)NC(=O)[C@H]1CCCC[C@H]1O
H24P110,ZINCoh00000op9sa,Cc1cncc(NC(=O)[C@@H]2CCN(C(=O)Cc3noc(C)n3)C2)c1
H25M000,ZINCp500000VW6Fy,C[C@H]1CN2CCN1C[C@H]2C(=O)NC[C@]1(F)C[C@@H](NC(=O)CCC#N)C1
H25P210,ZINCpr000002rHE6,CCn1cc(Cl)c(C(=O)NCCC[C@H](C)NC(=O)c2cc(C)on2)n1
H25P180,ZINCpo00000SOeJD,O=C(NC/C=C/CC(=O)N1Cc2cccc(F)c2C1)[C@H]1CC[C@H](O)C1
H23P300,ZINCnA000003KAey,CC(C)C[C@@H](CN=c1[nH]nc(C2CC2)o1)NC(=O)C1CCCC1
H24P130,ZINCoj00000op9rK,Cc1cnc(CNC(=O)[C@H]2C[C@H](NC(=O)c3ccc(O)cn3)C2)s1
H22P290,ZINCmz00000azjLm,Cc1nc(Br)c(C(=O)N(C)CCNC(=O)[C@@H](C)SC(C)C)s1
H25P190,ZINCpp00000SOeJP,O=C(NC/C=C/CC(=O)N1CCC12CC(CO)C2)[C@H](F)C1CCCC1
H25P100,ZINCpg00000VW6Fo,C[C@@H]1[C@@H](NC(=O)CSc2nnc(S)s2)CCN1C(=O)[C@@H](O)CC(F)F
H25P210,ZINCpr000002rH4a,CCn1cc(CCN2C[C@@H](NC(=O)Cc3ccoc3)C(C)(C)C2)cn1
H25M100,ZINCp400002sYBSt,COC(=O)[C@@]1(C)CCN1C(=O)[C@H]1OCC[C@H]1NC(=O)[C@@H]1CCNC1=O
H24P160,ZINCom00000si4eZ,CCOC(=O)[C@@H]1C[C@@]12C[C@H]2C(=O)Nc1cccc(CCC(N)=O)c1
H24P290,ZINCoz00000m13hx,Cn1cncc1CCC(=O)OCC(=O)c1cccc2ccccc12
H24P300,ZINCoA00000m13hL,Cn1cncc1[C@H]1CCCCN1C[C@@H]1CCC2(CCC(=O)CC2)O1
